time,lineID,directionId,distanceFromPoint,pointId,convert,date
1630914886924,9,473,273.0,1674,2021-09-06 07:54:46.924,2021-09-06
1630914886924,9,473,278.0,1684,2021-09-06 07:54:46.924,2021-09-06
1630914886924,9,1687,94.0,1681,2021-09-06 07:54:46.924,2021-09-06
1630914886924,9,1687,0.0,470,2021-09-06 07:54:46.924,2021-09-06
1630914886924,9,1687,0.0,470,2021-09-06 07:54:46.924,2021-09-06
1630914917746,9,473,89.0,1014,2021-09-06 07:55:17.746,2021-09-06
1630914917746,9,473,38.0,1682,2021-09-06 07:55:17.746,2021-09-06
1630914917746,9,1687,0.0,1683,2021-09-06 07:55:17.746,2021-09-06
1630914917746,9,1687,0.0,470,2021-09-06 07:55:17.746,2021-09-06
1630914917746,9,1687,0.0,470,2021-09-06 07:55:17.746,2021-09-06
1630914948365,9,473,89.0,1014,2021-09-06 07:55:48.365,2021-09-06
1630914948365,9,473,38.0,1682,2021-09-06 07:55:48.365,2021-09-06
1630914948365,9,1687,24.0,1683,2021-09-06 07:55:48.365,2021-09-06
1630914948365,9,1687,0.0,470,2021-09-06 07:55:48.365,2021-09-06
1630914948365,9,1687,0.0,470,2021-09-06 07:55:48.365,2021-09-06
1630914978881,9,473,66.0,6805,2021-09-06 07:56:18.881,2021-09-06
1630914978881,9,473,38.0,1682,2021-09-06 07:56:18.881,2021-09-06
1630914978881,9,1687,247.0,1683,2021-09-06 07:56:18.881,2021-09-06
1630914978881,9,1687,0.0,470,2021-09-06 07:56:18.881,2021-09-06
1630914978881,9,1687,0.0,470,2021-09-06 07:56:18.881,2021-09-06
1630915011138,9,473,66.0,6805,2021-09-06 07:56:51.138,2021-09-06
1630915011138,9,473,38.0,1682,2021-09-06 07:56:51.138,2021-09-06
1630915011138,9,1687,0.0,1685,2021-09-06 07:56:51.138,2021-09-06
1630915011138,9,1687,0.0,470,2021-09-06 07:56:51.138,2021-09-06
1630915011138,9,1687,0.0,470,2021-09-06 07:56:51.138,2021-09-06
1630915041551,9,473,66.0,6805,2021-09-06 07:57:21.551,2021-09-06
1630915041551,9,473,38.0,1682,2021-09-06 07:57:21.551,2021-09-06
1630915041551,9,1687,321.0,1685,2021-09-06 07:57:21.551,2021-09-06
