time,lineID,directionId,distanceFromPoint,pointId,convert,date
1631059331977,81,3610,34.0,2286,2021-09-08 00:02:11.977,2021-09-08
1631059422704,81,3610,34.0,2286,2021-09-08 00:03:42.704,2021-09-08
1631059483018,81,3610,34.0,2286,2021-09-08 00:04:43.018,2021-09-08
1631060632061,81,3610,34.0,2286,2021-09-08 00:23:52.061,2021-09-08
1631060693809,81,3610,34.0,2286,2021-09-08 00:24:53.809,2021-09-08
1631060788325,81,3610,34.0,2286,2021-09-08 00:26:28.325,2021-09-08
1631060973261,81,3610,34.0,2286,2021-09-08 00:29:33.261,2021-09-08
1631062461125,81,3610,34.0,2286,2021-09-08 00:54:21.125,2021-09-08
1631062495146,81,3610,34.0,2286,2021-09-08 00:54:55.146,2021-09-08
1631062590379,81,3610,34.0,2286,2021-09-08 00:56:30.379,2021-09-08
1631062653257,81,3610,34.0,2286,2021-09-08 00:57:33.257,2021-09-08
1631062749408,81,3610,34.0,2286,2021-09-08 00:59:09.408,2021-09-08
1631063715461,81,3610,34.0,2286,2021-09-08 01:15:15.461,2021-09-08
1631064217433,81,3610,34.0,2286,2021-09-08 01:23:37.433,2021-09-08
1631064372776,81,3610,34.0,2286,2021-09-08 01:26:12.776,2021-09-08
1631064675884,81,3610,34.0,2286,2021-09-08 01:31:15.884,2021-09-08
1631064705888,81,3610,34.0,2286,2021-09-08 01:31:45.888,2021-09-08
1631064766714,81,3610,34.0,2286,2021-09-08 01:32:46.714,2021-09-08
1631064889186,81,3610,34.0,2286,2021-09-08 01:34:49.186,2021-09-08
1631064951959,81,3610,34.0,2286,2021-09-08 01:35:51.959,2021-09-08
1631065200180,81,3610,34.0,2286,2021-09-08 01:40:00.180,2021-09-08
1631065261621,81,3610,34.0,2286,2021-09-08 01:41:01.621,2021-09-08
1631065293672,81,3610,34.0,2286,2021-09-08 01:41:33.672,2021-09-08
1631065481911,81,3610,34.0,2286,2021-09-08 01:44:41.911,2021-09-08
1631065574560,81,3610,34.0,2286,2021-09-08 01:46:14.560,2021-09-08
1631065635592,81,3610,34.0,2286,2021-09-08 01:47:15.592,2021-09-08
1631065789604,81,3610,34.0,2286,2021-09-08 01:49:49.604,2021-09-08
1631065941876,81,3610,34.0,2286,2021-09-08 01:52:21.876,2021-09-08
1631066004750,81,3610,34.0,2286,2021-09-08 01:53:24.750,2021-09-08
1631066192658,81,3610,34.0,2286,2021-09-08 01:56:32.658,2021-09-08
1631066223788,81,3610,34.0,2286,2021-09-08 01:57:03.788,2021-09-08
1631066410876,81,3610,34.0,2286,2021-09-08 02:00:10.876,2021-09-08
1631066502116,81,3610,34.0,2286,2021-09-08 02:01:42.116,2021-09-08
1631066563045,81,3610,34.0,2286,2021-09-08 02:02:43.045,2021-09-08
1631067106289,81,3610,34.0,2286,2021-09-08 02:11:46.289,2021-09-08
1631067136190,81,3610,34.0,2286,2021-09-08 02:12:16.190,2021-09-08
1631067196505,81,3610,34.0,2286,2021-09-08 02:13:16.505,2021-09-08
1631067226611,81,3610,34.0,2286,2021-09-08 02:13:46.611,2021-09-08
1631067288359,81,3610,34.0,2286,2021-09-08 02:14:48.359,2021-09-08
1631067318466,81,3610,34.0,2286,2021-09-08 02:15:18.466,2021-09-08
1631067348469,81,3610,34.0,2286,2021-09-08 02:15:48.469,2021-09-08
1631067379703,81,3610,34.0,2286,2021-09-08 02:16:19.703,2021-09-08
1631067536378,81,3610,34.0,2286,2021-09-08 02:18:56.378,2021-09-08
1631067754187,81,3610,34.0,2286,2021-09-08 02:22:34.187,2021-09-08
1631067877097,81,3610,34.0,2286,2021-09-08 02:24:37.097,2021-09-08
1631067970767,81,3610,34.0,2286,2021-09-08 02:26:10.767,2021-09-08
1631068126009,81,3610,34.0,2286,2021-09-08 02:28:46.009,2021-09-08
1631068186017,81,3610,34.0,2286,2021-09-08 02:29:46.017,2021-09-08
1631068246844,81,3610,34.0,2286,2021-09-08 02:30:46.844,2021-09-08
1631068463629,81,3610,34.0,2286,2021-09-08 02:34:23.629,2021-09-08
1631068652254,81,3610,34.0,2286,2021-09-08 02:37:32.254,2021-09-08
1631068961508,81,3610,34.0,2286,2021-09-08 02:42:41.508,2021-09-08
1631069085415,81,3610,34.0,2286,2021-09-08 02:44:45.415,2021-09-08
1631069115420,81,3610,34.0,2286,2021-09-08 02:45:15.420,2021-09-08
1631069266053,81,3610,34.0,2286,2021-09-08 02:47:46.053,2021-09-08
1631069266053,81,1042,163.0,3123,2021-09-08 02:47:46.053,2021-09-08
1631069296159,81,1042,0.0,6113,2021-09-08 02:48:16.159,2021-09-08
1631069326777,81,1042,0.0,6113,2021-09-08 02:48:46.777,2021-09-08
1631069356884,81,1042,50.0,6113,2021-09-08 02:49:16.884,2021-09-08
1631069388117,81,1042,38.0,6114,2021-09-08 02:49:48.117,2021-09-08
1631069418735,81,1042,102.0,6114,2021-09-08 02:50:18.735,2021-09-08
1631069450275,81,1042,0.0,1805,2021-09-08 02:50:50.275,2021-09-08
1631069481405,81,2284,0.0,631,2021-09-08 02:51:21.405,2021-09-08
1631069481405,81,1042,42.0,1805,2021-09-08 02:51:21.405,2021-09-08
1631069512945,81,3610,34.0,2286,2021-09-08 02:51:52.945,2021-09-08
1631069512945,81,2284,95.0,631,2021-09-08 02:51:52.945,2021-09-08
1631069512945,81,1042,218.0,1805,2021-09-08 02:51:52.945,2021-09-08
1631069542949,81,3610,34.0,2286,2021-09-08 02:52:22.949,2021-09-08
1631069542949,81,2284,48.0,2539,2021-09-08 02:52:22.949,2021-09-08
1631069542949,81,1042,348.0,1805,2021-09-08 02:52:22.949,2021-09-08
1631069574386,81,3610,34.0,2286,2021-09-08 02:52:54.386,2021-09-08
1631069574386,81,2284,282.0,2539,2021-09-08 02:52:54.386,2021-09-08
1631069574386,81,1042,148.0,6008,2021-09-08 02:52:54.386,2021-09-08
1631069604800,81,3610,34.0,2286,2021-09-08 02:53:24.800,2021-09-08
1631069604800,81,2284,0.0,6106,2021-09-08 02:53:24.800,2021-09-08
1631069604800,81,1042,176.0,6117,2021-09-08 02:53:24.800,2021-09-08
1631069635008,81,3610,34.0,2286,2021-09-08 02:53:55.008,2021-09-08
1631069635008,81,2284,115.0,6106,2021-09-08 02:53:55.008,2021-09-08
1631069635008,81,1042,248.0,6117,2021-09-08 02:53:55.008,2021-09-08
