time,lineID,directionId,distanceFromPoint,pointId,convert,date
1631059210939,7,5307,627.0,5758,2021-09-08 00:00:10.939,2021-09-08
1631059210939,7,2351,203.0,1048,2021-09-08 00:00:10.939,2021-09-08
1631059240943,7,5307,627.0,5758,2021-09-08 00:00:40.943,2021-09-08
1631059240943,7,2351,203.0,1048,2021-09-08 00:00:40.943,2021-09-08
1631059271765,7,5307,627.0,5758,2021-09-08 00:01:11.765,2021-09-08
1631059271765,7,2351,203.0,1048,2021-09-08 00:01:11.765,2021-09-08
1631059331977,7,5307,627.0,5758,2021-09-08 00:02:11.977,2021-09-08
1631059331977,7,2351,203.0,1048,2021-09-08 00:02:11.977,2021-09-08
1631059422704,7,5307,627.0,5758,2021-09-08 00:03:42.704,2021-09-08
1631059422704,7,2351,203.0,1048,2021-09-08 00:03:42.704,2021-09-08
1631059483018,7,5307,627.0,5758,2021-09-08 00:04:43.018,2021-09-08
1631059483018,7,2351,203.0,1048,2021-09-08 00:04:43.018,2021-09-08
1631060539798,7,5307,627.0,5758,2021-09-08 00:22:19.798,2021-09-08
1631060539798,7,2351,203.0,1048,2021-09-08 00:22:19.798,2021-09-08
1631060725451,7,5307,627.0,5758,2021-09-08 00:25:25.451,2021-09-08
1631060725451,7,2351,203.0,1048,2021-09-08 00:25:25.451,2021-09-08
1631060788325,7,5307,627.0,5758,2021-09-08 00:26:28.325,2021-09-08
1631060788325,7,2351,203.0,1048,2021-09-08 00:26:28.325,2021-09-08
1631060911513,7,5307,627.0,5758,2021-09-08 00:28:31.513,2021-09-08
1631060911513,7,2351,203.0,1048,2021-09-08 00:28:31.513,2021-09-08
1631061003572,7,5307,627.0,5758,2021-09-08 00:30:03.572,2021-09-08
1631061003572,7,2351,203.0,1048,2021-09-08 00:30:03.572,2021-09-08
1631061130140,7,5307,627.0,5758,2021-09-08 00:32:10.140,2021-09-08
1631061130140,7,2351,203.0,1048,2021-09-08 00:32:10.140,2021-09-08
1631061278723,7,5307,627.0,5758,2021-09-08 00:34:38.723,2021-09-08
1631061278723,7,2351,203.0,1048,2021-09-08 00:34:38.723,2021-09-08
1631061400683,7,5307,627.0,5758,2021-09-08 00:36:40.683,2021-09-08
1631061400683,7,2351,203.0,1048,2021-09-08 00:36:40.683,2021-09-08
1631062429302,7,5307,627.0,5758,2021-09-08 00:53:49.302,2021-09-08
1631062429302,7,2351,203.0,1048,2021-09-08 00:53:49.302,2021-09-08
1631062495146,7,5307,627.0,5758,2021-09-08 00:54:55.146,2021-09-08
1631062495146,7,2351,203.0,1048,2021-09-08 00:54:55.146,2021-09-08
1631062527095,7,5307,627.0,5758,2021-09-08 00:55:27.095,2021-09-08
1631062527095,7,2351,203.0,1048,2021-09-08 00:55:27.095,2021-09-08
1631062590379,7,5307,627.0,5758,2021-09-08 00:56:30.379,2021-09-08
1631062590379,7,2351,203.0,1048,2021-09-08 00:56:30.379,2021-09-08
1631062653257,7,5307,627.0,5758,2021-09-08 00:57:33.257,2021-09-08
1631062653257,7,2351,203.0,1048,2021-09-08 00:57:33.257,2021-09-08
1631062684793,7,5307,627.0,5758,2021-09-08 00:58:04.793,2021-09-08
1631062684793,7,2351,203.0,1048,2021-09-08 00:58:04.793,2021-09-08
1631063282816,7,5307,627.0,5758,2021-09-08 01:08:02.816,2021-09-08
1631063282816,7,2351,203.0,1048,2021-09-08 01:08:02.816,2021-09-08
1631063438466,7,5307,627.0,5758,2021-09-08 01:10:38.466,2021-09-08
1631063438466,7,2351,203.0,1048,2021-09-08 01:10:38.466,2021-09-08
1631063591761,7,5307,627.0,5758,2021-09-08 01:13:11.761,2021-09-08
1631063591761,7,2351,203.0,1048,2021-09-08 01:13:11.761,2021-09-08
1631063745567,7,5307,627.0,5758,2021-09-08 01:15:45.567,2021-09-08
1631063745567,7,2351,203.0,1048,2021-09-08 01:15:45.567,2021-09-08
1631063837216,7,5307,627.0,5758,2021-09-08 01:17:17.216,2021-09-08
1631063837216,7,2351,203.0,1048,2021-09-08 01:17:17.216,2021-09-08
1631064029936,7,5307,627.0,5758,2021-09-08 01:20:29.936,2021-09-08
1631064029936,7,2351,203.0,1048,2021-09-08 01:20:29.936,2021-09-08
1631064060247,7,5307,627.0,5758,2021-09-08 01:21:00.247,2021-09-08
1631064060247,7,2351,203.0,1048,2021-09-08 01:21:00.247,2021-09-08
1631064185996,7,5307,627.0,5758,2021-09-08 01:23:05.996,2021-09-08
1631064185996,7,2351,203.0,1048,2021-09-08 01:23:05.996,2021-09-08
1631064217433,7,5307,627.0,5758,2021-09-08 01:23:37.433,2021-09-08
1631064217433,7,2351,203.0,1048,2021-09-08 01:23:37.433,2021-09-08
1631064248870,7,5307,627.0,5758,2021-09-08 01:24:08.870,2021-09-08
1631064248870,7,2351,203.0,1048,2021-09-08 01:24:08.870,2021-09-08
1631064279693,7,5307,627.0,5758,2021-09-08 01:24:39.693,2021-09-08
1631064279693,7,2351,203.0,1048,2021-09-08 01:24:39.693,2021-09-08
1631064524330,7,5307,627.0,5758,2021-09-08 01:28:44.330,2021-09-08
1631064524330,7,2351,203.0,1048,2021-09-08 01:28:44.330,2021-09-08
1631064554333,7,5307,627.0,5758,2021-09-08 01:29:14.333,2021-09-08
1631064554333,7,2351,203.0,1048,2021-09-08 01:29:14.333,2021-09-08
1631064584747,7,5307,627.0,5758,2021-09-08 01:29:44.747,2021-09-08
1631064584747,7,2351,203.0,1048,2021-09-08 01:29:44.747,2021-09-08
1631064614853,7,5307,627.0,5758,2021-09-08 01:30:14.853,2021-09-08
1631064614853,7,2351,203.0,1048,2021-09-08 01:30:14.853,2021-09-08
1631064951959,7,5307,627.0,5758,2021-09-08 01:35:51.959,2021-09-08
1631064951959,7,2351,203.0,1048,2021-09-08 01:35:51.959,2021-09-08
1631065013399,7,5307,627.0,5758,2021-09-08 01:36:53.399,2021-09-08
1631065013399,7,2351,203.0,1048,2021-09-08 01:36:53.399,2021-09-08
1631065324188,7,5307,627.0,5758,2021-09-08 01:42:04.188,2021-09-08
1631065324188,7,2351,203.0,1048,2021-09-08 01:42:04.188,2021-09-08
1631065386755,7,5307,627.0,5758,2021-09-08 01:43:06.755,2021-09-08
1631065386755,7,2351,203.0,1048,2021-09-08 01:43:06.755,2021-09-08
1631065449425,7,5307,627.0,5758,2021-09-08 01:44:09.425,2021-09-08
1631065449425,7,2351,203.0,1048,2021-09-08 01:44:09.425,2021-09-08
1631065574560,7,5307,627.0,5758,2021-09-08 01:46:14.560,2021-09-08
1631065574560,7,2351,203.0,1048,2021-09-08 01:46:14.560,2021-09-08
1631065635592,7,5307,627.0,5758,2021-09-08 01:47:15.592,2021-09-08
1631065635592,7,2351,203.0,1048,2021-09-08 01:47:15.592,2021-09-08
