time,lineID,directionId,distanceFromPoint,pointId,convert,date
1631077155227,77,7501,0.0,1638,2021-09-08 04:59:15.227,2021-09-08
1631077185947,77,7501,0.0,1638,2021-09-08 04:59:45.947,2021-09-08
1631077218614,77,7501,0.0,1638,2021-09-08 05:00:18.614,2021-09-08
1631077250461,77,7501,0.0,1638,2021-09-08 05:00:50.461,2021-09-08
1631077282923,77,7501,0.0,1638,2021-09-08 05:01:22.923,2021-09-08
1631077314975,77,7501,0.0,1638,2021-09-08 05:01:54.975,2021-09-08
1631077346822,77,7501,0.0,1638,2021-09-08 05:02:26.822,2021-09-08
1631077379079,77,7501,0.0,1638,2021-09-08 05:02:59.079,2021-09-08
1631077411234,77,7501,0.0,1638,2021-09-08 05:03:31.234,2021-09-08
1631077441340,77,1638,0.0,7501,2021-09-08 05:04:01.340,2021-09-08
1631077441340,77,7501,0.0,1638,2021-09-08 05:04:01.340,2021-09-08
1631077476362,77,1638,211.0,7501,2021-09-08 05:04:36.362,2021-09-08
1631077476362,77,7501,0.0,1638,2021-09-08 05:04:36.362,2021-09-08
1631077508824,77,1638,211.0,7501,2021-09-08 05:05:08.824,2021-09-08
1631077508824,77,7501,0.0,1638,2021-09-08 05:05:08.824,2021-09-08
1631077539544,77,1638,211.0,7501,2021-09-08 05:05:39.544,2021-09-08
1631077539544,77,7501,0.0,1638,2021-09-08 05:05:39.544,2021-09-08
1631077571494,77,1638,211.0,7501,2021-09-08 05:06:11.494,2021-09-08
1631077571494,77,7501,0.0,1638,2021-09-08 05:06:11.494,2021-09-08
1631077601914,77,1638,211.0,7501,2021-09-08 05:06:41.914,2021-09-08
1631077601914,77,7501,0.0,1638,2021-09-08 05:06:41.914,2021-09-08
1631077633653,77,1638,211.0,7501,2021-09-08 05:07:13.653,2021-09-08
1631077633653,77,7501,0.0,1638,2021-09-08 05:07:13.653,2021-09-08
1631077664476,77,1638,211.0,7501,2021-09-08 05:07:44.476,2021-09-08
1631077664476,77,7501,97.0,1638,2021-09-08 05:07:44.476,2021-09-08
1631077695811,77,1638,211.0,7501,2021-09-08 05:08:15.811,2021-09-08
