time,lineID,directionId,distanceFromPoint,pointId,convert,date
1631163320430,77,7501,47.0,1638,2021-09-09 04:55:20.430,2021-09-09
1631163351918,77,7501,47.0,1638,2021-09-09 04:55:51.918,2021-09-09
1631163382639,77,7501,47.0,1638,2021-09-09 04:56:22.639,2021-09-09
1631163415612,77,7501,47.0,1638,2021-09-09 04:56:55.612,2021-09-09
1631163446845,77,7501,47.0,1638,2021-09-09 04:57:26.845,2021-09-09
1631163478795,77,7501,0.0,1638,2021-09-09 04:57:58.795,2021-09-09
1631163510539,77,7501,0.0,1638,2021-09-09 04:58:30.539,2021-09-09
1631163541977,77,7501,0.0,1638,2021-09-09 04:59:01.977,2021-09-09
1631163574438,77,7501,0.0,1638,2021-09-09 04:59:34.438,2021-09-09
1631163604647,77,7501,0.0,1638,2021-09-09 05:00:04.647,2021-09-09
1631163636289,77,7501,0.0,1638,2021-09-09 05:00:36.289,2021-09-09
1631163666805,77,7501,0.0,1638,2021-09-09 05:01:06.805,2021-09-09
1631163698857,77,7501,0.0,1638,2021-09-09 05:01:38.857,2021-09-09
1631163731421,77,7501,0.0,1638,2021-09-09 05:02:11.421,2021-09-09
1631163763473,77,7501,0.0,1638,2021-09-09 05:02:43.473,2021-09-09
1631163796241,77,7501,0.0,1638,2021-09-09 05:03:16.241,2021-09-09
1631163796241,77,1638,0.0,7501,2021-09-09 05:03:16.241,2021-09-09
1631163826757,77,7501,47.0,1638,2021-09-09 05:03:46.757,2021-09-09
1631163826757,77,1638,0.0,7501,2021-09-09 05:03:46.757,2021-09-09
1631163857990,77,7501,292.0,1638,2021-09-09 05:04:17.990,2021-09-09
1631163857990,77,1638,0.0,7501,2021-09-09 05:04:17.990,2021-09-09
1631163889837,77,7501,292.0,1638,2021-09-09 05:04:49.837,2021-09-09
1631163889837,77,1638,0.0,7501,2021-09-09 05:04:49.837,2021-09-09
1631163922913,77,7501,187.0,1601,2021-09-09 05:05:22.913,2021-09-09
1631163922913,77,1638,0.0,7501,2021-09-09 05:05:22.913,2021-09-09
1631163955579,77,7501,187.0,1601,2021-09-09 05:05:55.579,2021-09-09
1631163955579,77,1638,0.0,7501,2021-09-09 05:05:55.579,2021-09-09
1631163985685,77,7501,46.0,2424,2021-09-09 05:06:25.685,2021-09-09
1631163985685,77,1638,0.0,7501,2021-09-09 05:06:25.685,2021-09-09
1631164018146,77,7501,452.0,2424,2021-09-09 05:06:58.146,2021-09-09
1631164018146,77,1638,0.0,7501,2021-09-09 05:06:58.146,2021-09-09
1631164051120,77,7501,632.0,2424,2021-09-09 05:07:31.120,2021-09-09
