time,lineID,directionId,distanceFromPoint,pointId,convert,date
1631145651975,45,9292,34.0,1525,2021-09-09 00:00:51.975,2021-09-09
1631145651975,45,9292,83.0,2992,2021-09-09 00:00:51.975,2021-09-09
1631145651975,45,3420,62.0,3403,2021-09-09 00:00:51.975,2021-09-09
1631145651975,45,3420,339.0,1531,2021-09-09 00:00:51.975,2021-09-09
1631145714236,45,9292,34.0,1525,2021-09-09 00:01:54.236,2021-09-09
1631145714236,45,9292,83.0,2992,2021-09-09 00:01:54.236,2021-09-09
1631145714236,45,3420,62.0,3403,2021-09-09 00:01:54.236,2021-09-09
1631145714236,45,3420,339.0,1531,2021-09-09 00:01:54.236,2021-09-09
1631145964609,45,9292,34.0,1525,2021-09-09 00:06:04.609,2021-09-09
1631145964609,45,9292,83.0,2992,2021-09-09 00:06:04.609,2021-09-09
1631145964609,45,3420,62.0,3403,2021-09-09 00:06:04.609,2021-09-09
1631145964609,45,3420,339.0,1531,2021-09-09 00:06:04.609,2021-09-09
1631146088926,45,9292,34.0,1525,2021-09-09 00:08:08.926,2021-09-09
1631146088926,45,9292,83.0,2992,2021-09-09 00:08:08.926,2021-09-09
1631146088926,45,3420,62.0,3403,2021-09-09 00:08:08.926,2021-09-09
1631146088926,45,3420,339.0,1531,2021-09-09 00:08:08.926,2021-09-09
1631146119033,45,9292,34.0,1525,2021-09-09 00:08:39.033,2021-09-09
1631146119033,45,9292,83.0,2992,2021-09-09 00:08:39.033,2021-09-09
1631146119033,45,3420,62.0,3403,2021-09-09 00:08:39.033,2021-09-09
1631146119033,45,3420,339.0,1531,2021-09-09 00:08:39.033,2021-09-09
1631146180064,45,9292,34.0,1525,2021-09-09 00:09:40.064,2021-09-09
1631146180064,45,9292,83.0,2992,2021-09-09 00:09:40.064,2021-09-09
1631146180064,45,3420,62.0,3403,2021-09-09 00:09:40.064,2021-09-09
1631146180064,45,3420,339.0,1531,2021-09-09 00:09:40.064,2021-09-09
1631146240687,45,9292,34.0,1525,2021-09-09 00:10:40.687,2021-09-09
1631146240687,45,9292,83.0,2992,2021-09-09 00:10:40.687,2021-09-09
1631146240687,45,3420,62.0,3403,2021-09-09 00:10:40.687,2021-09-09
1631146240687,45,3420,339.0,1531,2021-09-09 00:10:40.687,2021-09-09
1631146363569,45,9292,34.0,1525,2021-09-09 00:12:43.569,2021-09-09
1631146363569,45,9292,83.0,2992,2021-09-09 00:12:43.569,2021-09-09
1631146363569,45,3420,62.0,3403,2021-09-09 00:12:43.569,2021-09-09
1631146363569,45,3420,339.0,1531,2021-09-09 00:12:43.569,2021-09-09
1631146426035,45,9292,34.0,1525,2021-09-09 00:13:46.035,2021-09-09
1631146426035,45,9292,83.0,2992,2021-09-09 00:13:46.035,2021-09-09
1631146426035,45,3420,62.0,3403,2021-09-09 00:13:46.035,2021-09-09
1631146426035,45,3420,339.0,1531,2021-09-09 00:13:46.035,2021-09-09
1631146457575,45,9292,34.0,1525,2021-09-09 00:14:17.575,2021-09-09
1631146457575,45,9292,83.0,2992,2021-09-09 00:14:17.575,2021-09-09
1631146457575,45,3420,62.0,3403,2021-09-09 00:14:17.575,2021-09-09
1631146457575,45,3420,339.0,1531,2021-09-09 00:14:17.575,2021-09-09
1631146646814,45,9292,34.0,1525,2021-09-09 00:17:26.814,2021-09-09
1631146646814,45,9292,83.0,2992,2021-09-09 00:17:26.814,2021-09-09
1631146646814,45,3420,62.0,3403,2021-09-09 00:17:26.814,2021-09-09
1631146646814,45,3420,339.0,1531,2021-09-09 00:17:26.814,2021-09-09
1631146709690,45,9292,34.0,1525,2021-09-09 00:18:29.690,2021-09-09
1631146709690,45,9292,83.0,2992,2021-09-09 00:18:29.690,2021-09-09
1631146709690,45,3420,62.0,3403,2021-09-09 00:18:29.690,2021-09-09
1631146709690,45,3420,339.0,1531,2021-09-09 00:18:29.690,2021-09-09
1631146771950,45,9292,34.0,1525,2021-09-09 00:19:31.950,2021-09-09
1631146771950,45,9292,83.0,2992,2021-09-09 00:19:31.950,2021-09-09
1631146771950,45,3420,62.0,3403,2021-09-09 00:19:31.950,2021-09-09
1631146771950,45,3420,339.0,1531,2021-09-09 00:19:31.950,2021-09-09
1631146833494,45,9292,34.0,1525,2021-09-09 00:20:33.494,2021-09-09
1631146833494,45,9292,83.0,2992,2021-09-09 00:20:33.494,2021-09-09
1631146833494,45,3420,62.0,3403,2021-09-09 00:20:33.494,2021-09-09
1631146833494,45,3420,339.0,1531,2021-09-09 00:20:33.494,2021-09-09
1631147139575,45,9292,34.0,1525,2021-09-09 00:25:39.575,2021-09-09
