time,lineID,directionId,distanceFromPoint,pointId,convert,date
1631145619513,47,9784,0.0,2299,2021-09-09 00:00:19.513,2021-09-09
1631145619513,47,9784,74.0,9627,2021-09-09 00:00:19.513,2021-09-09
1631145902041,47,9784,0.0,2299,2021-09-09 00:05:02.041,2021-09-09
1631145902041,47,9784,74.0,9627,2021-09-09 00:05:02.041,2021-09-09
1631145933991,47,9784,0.0,2299,2021-09-09 00:05:33.991,2021-09-09
1631145933991,47,9784,74.0,9627,2021-09-09 00:05:33.991,2021-09-09
1631146088926,47,9784,0.0,2299,2021-09-09 00:08:08.926,2021-09-09
1631146088926,47,9784,74.0,9627,2021-09-09 00:08:08.926,2021-09-09
1631146150060,47,9784,0.0,2299,2021-09-09 00:09:10.060,2021-09-09
1631146150060,47,9784,74.0,9627,2021-09-09 00:09:10.060,2021-09-09
1631146180064,47,9784,0.0,2299,2021-09-09 00:09:40.064,2021-09-09
1631146180064,47,9784,74.0,9627,2021-09-09 00:09:40.064,2021-09-09
1631146210580,47,9784,0.0,2299,2021-09-09 00:10:10.580,2021-09-09
1631146210580,47,9784,74.0,9627,2021-09-09 00:10:10.580,2021-09-09
1631146489496,47,9784,0.0,2299,2021-09-09 00:14:49.496,2021-09-09
1631146489496,47,9784,74.0,9627,2021-09-09 00:14:49.496,2021-09-09
1631146583837,47,9784,0.0,2299,2021-09-09 00:16:23.837,2021-09-09
1631146583837,47,9784,74.0,9627,2021-09-09 00:16:23.837,2021-09-09
1631146709690,47,9784,0.0,2299,2021-09-09 00:18:29.690,2021-09-09
1631146709690,47,9784,74.0,9627,2021-09-09 00:18:29.690,2021-09-09
1631146833494,47,9784,0.0,2299,2021-09-09 00:20:33.494,2021-09-09
1631146833494,47,9784,74.0,9627,2021-09-09 00:20:33.494,2021-09-09
1631147295432,47,9784,0.0,2299,2021-09-09 00:28:15.432,2021-09-09
1631147295432,47,9784,74.0,9627,2021-09-09 00:28:15.432,2021-09-09
1631147325743,47,9784,0.0,2299,2021-09-09 00:28:45.743,2021-09-09
1631147325743,47,9784,74.0,9627,2021-09-09 00:28:45.743,2021-09-09
1631147515392,47,9784,0.0,2299,2021-09-09 00:31:55.392,2021-09-09
1631147515392,47,9784,74.0,9627,2021-09-09 00:31:55.392,2021-09-09
1631147612060,47,9784,0.0,2299,2021-09-09 00:33:32.060,2021-09-09
1631147612060,47,9784,74.0,9627,2021-09-09 00:33:32.060,2021-09-09
1631147703710,47,9784,0.0,2299,2021-09-09 00:35:03.710,2021-09-09
1631147703710,47,9784,74.0,9627,2021-09-09 00:35:03.710,2021-09-09
1631147743954,47,9784,0.0,2299,2021-09-09 00:35:43.954,2021-09-09
1631147743954,47,9784,74.0,9627,2021-09-09 00:35:43.954,2021-09-09
1631147839598,47,9784,0.0,2299,2021-09-09 00:37:19.598,2021-09-09
1631147839598,47,9784,74.0,9627,2021-09-09 00:37:19.598,2021-09-09
1631147970878,47,9784,0.0,2299,2021-09-09 00:39:30.878,2021-09-09
1631147970878,47,9784,74.0,9627,2021-09-09 00:39:30.878,2021-09-09
1631148158274,47,9784,0.0,2299,2021-09-09 00:42:38.274,2021-09-09
1631148158274,47,9784,74.0,9627,2021-09-09 00:42:38.274,2021-09-09
1631148504393,47,9784,0.0,2299,2021-09-09 00:48:24.393,2021-09-09
1631148504393,47,9784,74.0,9627,2021-09-09 00:48:24.393,2021-09-09
1631148537264,47,9784,0.0,2299,2021-09-09 00:48:57.264,2021-09-09
1631148537264,47,9784,74.0,9627,2021-09-09 00:48:57.264,2021-09-09
1631148632805,47,9784,0.0,2299,2021-09-09 00:50:32.805,2021-09-09
1631148632805,47,9784,74.0,9627,2021-09-09 00:50:32.805,2021-09-09
1631148726810,47,9784,0.0,2299,2021-09-09 00:52:06.810,2021-09-09
1631148726810,47,9784,74.0,9627,2021-09-09 00:52:06.810,2021-09-09
1631148757843,47,9784,0.0,2299,2021-09-09 00:52:37.843,2021-09-09
1631148757843,47,9784,74.0,9627,2021-09-09 00:52:37.843,2021-09-09
1631148850102,47,9784,0.0,2299,2021-09-09 00:54:10.102,2021-09-09
1631148850102,47,9784,74.0,9627,2021-09-09 00:54:10.102,2021-09-09
1631148880516,47,9784,0.0,2299,2021-09-09 00:54:40.516,2021-09-09
1631148880516,47,9784,74.0,9627,2021-09-09 00:54:40.516,2021-09-09
1631149002579,47,9784,0.0,2299,2021-09-09 00:56:42.579,2021-09-09
1631149002579,47,9784,74.0,9627,2021-09-09 00:56:42.579,2021-09-09
1631149033607,47,9784,0.0,2299,2021-09-09 00:57:13.607,2021-09-09
1631149033607,47,9784,74.0,9627,2021-09-09 00:57:13.607,2021-09-09
1631149094947,47,9784,0.0,2299,2021-09-09 00:58:14.947,2021-09-09
1631149094947,47,9784,74.0,9627,2021-09-09 00:58:14.947,2021-09-09
1631149252133,47,9784,0.0,2299,2021-09-09 01:00:52.133,2021-09-09
1631149252133,47,9784,74.0,9627,2021-09-09 01:00:52.133,2021-09-09
1631149377269,47,9784,0.0,2299,2021-09-09 01:02:57.269,2021-09-09
1631149377269,47,9784,74.0,9627,2021-09-09 01:02:57.269,2021-09-09
1631149535378,47,9784,0.0,2299,2021-09-09 01:05:35.378,2021-09-09
1631149535378,47,9784,74.0,9627,2021-09-09 01:05:35.378,2021-09-09
1631149598150,47,9784,0.0,2299,2021-09-09 01:06:38.150,2021-09-09
1631149598150,47,9784,74.0,9627,2021-09-09 01:06:38.150,2021-09-09
