time,lineID,directionId,distanceFromPoint,pointId,convert,date
1630983354401,9,1687,49.0,6865,2021-09-07 02:55:54.401,2021-09-07
1630983385633,9,1687,210.0,6865,2021-09-07 02:56:25.633,2021-09-07
1630983415740,9,1687,197.0,1675,2021-09-07 02:56:55.740,2021-09-07
1630983447075,9,1687,0.0,1677,2021-09-07 02:57:27.075,2021-09-07
1630983477386,9,1687,42.0,1677,2021-09-07 02:57:57.386,2021-09-07
1630983509131,9,1687,181.0,1677,2021-09-07 02:58:29.131,2021-09-07
1630983539340,9,1687,96.0,1679,2021-09-07 02:58:59.340,2021-09-07
1630983571597,9,1687,506.0,1679,2021-09-07 02:59:31.597,2021-09-07
1630983602727,9,1687,539.0,1679,2021-09-07 03:00:02.727,2021-09-07
1630983635701,9,1687,596.0,1679,2021-09-07 03:00:35.701,2021-09-07
1630983667651,9,1687,596.0,1679,2021-09-07 03:01:07.651,2021-09-07
1630983700113,9,1687,596.0,1679,2021-09-07 03:01:40.113,2021-09-07
1630983732779,9,1687,56.0,1683,2021-09-07 03:02:12.779,2021-09-07
1630983763991,9,1687,56.0,1683,2021-09-07 03:02:43.991,2021-09-07
1630983796576,9,1687,60.0,1685,2021-09-07 03:03:16.576,2021-09-07
1630983828014,9,1687,60.0,1685,2021-09-07 03:03:48.014,2021-09-07
1630983859247,9,1687,532.0,1685,2021-09-07 03:04:19.247,2021-09-07
1630983891606,9,1687,0.0,1687,2021-09-07 03:04:51.606,2021-09-07
1630983922020,9,1687,0.0,1687,2021-09-07 03:05:22.020,2021-09-07
1630983952332,9,1687,0.0,1687,2021-09-07 03:05:52.332,2021-09-07
1630983983872,9,1687,0.0,1687,2021-09-07 03:06:23.872,2021-09-07
1630984014183,9,1687,0.0,1687,2021-09-07 03:06:54.183,2021-09-07
1630984046235,9,1687,0.0,1687,2021-09-07 03:07:26.235,2021-09-07
1630984076444,9,1687,0.0,1687,2021-09-07 03:07:56.444,2021-09-07
1630984108599,9,1687,0.0,1687,2021-09-07 03:08:28.599,2021-09-07
1630984264559,9,1687,34.0,470,2021-09-07 03:11:04.559,2021-09-07
1630984297124,9,1687,34.0,470,2021-09-07 03:11:37.124,2021-09-07
1630984328869,9,1687,34.0,470,2021-09-07 03:12:08.869,2021-09-07
1630984359282,9,473,34.0,1686,2021-09-07 03:12:39.282,2021-09-07
1630984359282,9,1687,40.0,6864,2021-09-07 03:12:39.282,2021-09-07
1630984390106,9,473,66.0,1686,2021-09-07 03:13:10.106,2021-09-07
1630984390106,9,1687,40.0,6864,2021-09-07 03:13:10.106,2021-09-07
1630984420417,9,473,66.0,1686,2021-09-07 03:13:40.417,2021-09-07
1630984420417,9,1687,40.0,6864,2021-09-07 03:13:40.417,2021-09-07
1630984450523,9,473,40.0,1684,2021-09-07 03:14:10.523,2021-09-07
1630984450523,9,1687,34.0,6865,2021-09-07 03:14:10.523,2021-09-07
1630984480835,9,473,40.0,1684,2021-09-07 03:14:40.835,2021-09-07
1630984480835,9,1687,296.0,6865,2021-09-07 03:14:40.835,2021-09-07
1630984511863,9,473,44.0,1682,2021-09-07 03:15:11.863,2021-09-07
1630984511863,9,1687,197.0,1675,2021-09-07 03:15:11.863,2021-09-07
1630984543096,9,473,118.0,1682,2021-09-07 03:15:43.096,2021-09-07
